ngram,count,frequency,percentage
THE,43,0.01625708884688091,1.625708884688091
AND,25,0.00945179584120983,0.945179584120983
ENT,24,0.009073724007561436,0.9073724007561436
ATI,15,0.005671077504725898,0.5671077504725899
ION,15,0.005671077504725898,0.5671077504725899
EST,13,0.004914933837429111,0.4914933837429111
ENC,12,0.004536862003780718,0.4536862003780718
KEY,11,0.004158790170132325,0.4158790170132325
MEN,11,0.004158790170132325,0.4158790170132325
STA,11,0.004158790170132325,0.4158790170132325
TIO,11,0.004158790170132325,0.4158790170132325
ARE,10,0.003780718336483932,0.3780718336483932
CAN,10,0.003780718336483932,0.3780718336483932
FOR,10,0.003780718336483932,0.3780718336483932
STH,10,0.003780718336483932,0.3780718336483932
TAT,10,0.003780718336483932,0.3780718336483932
TIC,10,0.003780718336483932,0.3780718336483932
ERS,9,0.003402646502835539,0.3402646502835539
ESA,9,0.003402646502835539,0.3402646502835539
ESS,9,0.003402646502835539,0.3402646502835539
ETH,9,0.003402646502835539,0.3402646502835539
IDE,9,0.003402646502835539,0.3402646502835539
ING,9,0.003402646502835539,0.3402646502835539
IST,9,0.003402646502835539,0.3402646502835539
ONS,9,0.003402646502835539,0.3402646502835539
RYP,9,0.003402646502835539,0.3402646502835539
AGE,8,0.0030245746691871457,0.30245746691871456
ERE,8,0.0030245746691871457,0.30245746691871456
ERI,8,0.0030245746691871457,0.30245746691871456
EXP,8,0.0030245746691871457,0.30245746691871456
IME,8,0.0030245746691871457,0.30245746691871456
PER,8,0.0030245746691871457,0.30245746691871456
STI,8,0.0030245746691871457,0.30245746691871456
VER,8,0.0030245746691871457,0.30245746691871456
CAL,7,0.0026465028355387526,0.26465028355387527
CRY,7,0.0026465028355387526,0.26465028355387527
ECT,7,0.0026465028355387526,0.26465028355387527
ETT,7,0.0026465028355387526,0.26465028355387527
ICA,7,0.0026465028355387526,0.26465028355387527
INA,7,0.0026465028355387526,0.26465028355387527
MES,7,0.0026465028355387526,0.26465028355387527
MPL,7,0.0026465028355387526,0.26465028355387527
NGE,7,0.0026465028355387526,0.26465028355387527
NGT,7,0.0026465028355387526,0.26465028355387527
ODU,7,0.0026465028355387526,0.26465028355387527
ONG,7,0.0026465028355387526,0.26465028355387527
PLE,7,0.0026465028355387526,0.26465028355387527
PRO,7,0.0026465028355387526,0.26465028355387527
TER,7,0.0026465028355387526,0.26465028355387527
TIS,7,0.0026465028355387526,0.26465028355387527
YPT,7,0.0026465028355387526,0.26465028355387527
AKE,6,0.002268431001890359,0.2268431001890359
ALL,6,0.002268431001890359,0.2268431001890359
ATE,6,0.002268431001890359,0.2268431001890359
BLE,6,0.002268431001890359,0.2268431001890359
COM,6,0.002268431001890359,0.2268431001890359
EAN,6,0.002268431001890359,0.2268431001890359
EME,6,0.002268431001890359,0.2268431001890359
EPR,6,0.002268431001890359,0.2268431001890359
ERA,6,0.002268431001890359,0.2268431001890359
HAN,6,0.002268431001890359,0.2268431001890359
HEL,6,0.002268431001890359,0.2268431001890359
ITH,6,0.002268431001890359,0.2268431001890359
LET,6,0.002268431001890359,0.2268431001890359
MEA,6,0.002268431001890359,0.2268431001890359
NCE,6,0.002268431001890359,0.2268431001890359
NDT,6,0.002268431001890359,0.2268431001890359
NSA,6,0.002268431001890359,0.2268431001890359
RAN,6,0.002268431001890359,0.2268431001890359
REC,6,0.002268431001890359,0.2268431001890359
RES,6,0.002268431001890359,0.2268431001890359
RIM,6,0.002268431001890359,0.2268431001890359
SAG,6,0.002268431001890359,0.2268431001890359
SHO,6,0.002268431001890359,0.2268431001890359
SSA,6,0.002268431001890359,0.2268431001890359
SSI,6,0.002268431001890359,0.2268431001890359
TAN,6,0.002268431001890359,0.2268431001890359
TED,6,0.002268431001890359,0.2268431001890359
THA,6,0.002268431001890359,0.2268431001890359
TTE,6,0.002268431001890359,0.2268431001890359
XPE,6,0.002268431001890359,0.2268431001890359
YSI,6,0.002268431001890359,0.2268431001890359
AME,5,0.001890359168241966,0.1890359168241966
ANG,5,0.001890359168241966,0.1890359168241966
CHA,5,0.001890359168241966,0.1890359168241966
CON,5,0.001890359168241966,0.1890359168241966
DEN,5,0.001890359168241966,0.1890359168241966
DIN,5,0.001890359168241966,0.1890359168241966
DUL,5,0.001890359168241966,0.1890359168241966
EAS,5,0.001890359168241966,0.1890359168241966
ECA,5,0.001890359168241966,0.1890359168241966
EKE,5,0.001890359168241966,0.1890359168241966
ESU,5,0.001890359168241966,0.1890359168241966
EVE,5,0.001890359168241966,0.1890359168241966
GRA,5,0.001890359168241966,0.1890359168241966
GTH,5,0.001890359168241966,0.1890359168241966
HEC,5,0.001890359168241966,0.1890359168241966
HEN,5,0.001890359168241966,0.1890359168241966
HES,5,0.001890359168241966,0.1890359168241966
HIS,5,0.001890359168241966,0.1890359168241966
HOW,5,0.001890359168241966,0.1890359168241966
IMP,5,0.001890359168241966,0.1890359168241966
MAT,5,0.001890359168241966,0.1890359168241966
MOD,5,0.001890359168241966,0.1890359168241966
NOT,5,0.001890359168241966,0.1890359168241966
NTA,5,0.001890359168241966,0.1890359168241966
NTS,5,0.001890359168241966,0.1890359168241966
NTY,5,0.001890359168241966,0.1890359168241966
OFT,5,0.001890359168241966,0.1890359168241966
ORD,5,0.001890359168241966,0.1890359168241966
OUT,5,0.001890359168241966,0.1890359168241966
RAC,5,0.001890359168241966,0.1890359168241966
REP,5,0.001890359168241966,0.1890359168241966
SAR,5,0.001890359168241966,0.1890359168241966
SMA,5,0.001890359168241966,0.1890359168241966
SOF,5,0.001890359168241966,0.1890359168241966
SPA,5,0.001890359168241966,0.1890359168241966
TTH,5,0.001890359168241966,0.1890359168241966
TWE,5,0.001890359168241966,0.1890359168241966
ULA,5,0.001890359168241966,0.1890359168241966
VID,5,0.001890359168241966,0.1890359168241966
WEN,5,0.001890359168241966,0.1890359168241966
ACE,4,0.0015122873345935729,0.15122873345935728
ARA,4,0.0015122873345935729,0.15122873345935728
ASS,4,0.0015122873345935729,0.15122873345935728
BER,4,0.0015122873345935729,0.15122873345935728
COR,4,0.0015122873345935729,0.15122873345935728
DEC,4,0.0015122873345935729,0.15122873345935728
DTH,4,0.0015122873345935729,0.15122873345935728
EAC,4,0.0015122873345935729,0.15122873345935728
EAR,4,0.0015122873345935729,0.15122873345935728
ECI,4,0.0015122873345935729,0.15122873345935728
EDI,4,0.0015122873345935729,0.15122873345935728
EFO,4,0.0015122873345935729,0.15122873345935728
EFU,4,0.0015122873345935729,0.15122873345935728
ELA,4,0.0015122873345935729,0.15122873345935728
EQU,4,0.0015122873345935729,0.15122873345935728
EVI,4,0.0015122873345935729,0.15122873345935728
FTH,4,0.0015122873345935729,0.15122873345935728
HER,4,0.0015122873345935729,0.15122873345935728
IBL,4,0.0015122873345935729,0.15122873345935728
INC,4,0.0015122873345935729,0.15122873345935728
LON,4,0.0015122873345935729,0.15122873345935728
MAK,4,0.0015122873345935729,0.15122873345935728
NAL,4,0.0015122873345935729,0.15122873345935728
NCR,4,0.0015122873345935729,0.15122873345935728
NDA,4,0.0015122873345935729,0.15122873345935728
NDS,4,0.0015122873345935729,0.15122873345935728
OMA,4,0.0015122873345935729,0.15122873345935728
OMP,4,0.0015122873345935729,0.15122873345935728
ONL,4,0.0015122873345935729,0.15122873345935728
OTH,4,0.0015122873345935729,0.15122873345935728
OUG,4,0.0015122873345935729,0.15122873345935728
PAC,4,0.0015122873345935729,0.15122873345935728
PRE,4,0.0015122873345935729,0.15122873345935728
QUE,4,0.0015122873345935729,0.15122873345935728
RAM,4,0.0015122873345935729,0.15122873345935728
ROU,4,0.0015122873345935729,0.15122873345935728
RSE,4,0.0015122873345935729,0.15122873345935728
SAN,4,0.0015122873345935729,0.15122873345935728
SEA,4,0.0015122873345935729,0.15122873345935728
SEF,4,0.0015122873345935729,0.15122873345935728
SIO,4,0.0015122873345935729,0.15122873345935728
SIX,4,0.0015122873345935729,0.15122873345935728
SNO,4,0.0015122873345935729,0.15122873345935728
TCH,4,0.0015122873345935729,0.15122873345935728
TES,4,0.0015122873345935729,0.15122873345935728
TIN,4,0.0015122873345935729,0.15122873345935728
TIT,4,0.0015122873345935729,0.15122873345935728
TYS,4,0.0015122873345935729,0.15122873345935728
UEN,4,0.0015122873345935729,0.15122873345935728
UGH,4,0.0015122873345935729,0.15122873345935728
ULT,4,0.0015122873345935729,0.15122873345935728
WIT,4,0.0015122873345935729,0.15122873345935728
YAN,4,0.0015122873345935729,0.15122873345935728
ABE,3,0.0011342155009451795,0.11342155009451795
ABO,3,0.0011342155009451795,0.11342155009451795
ACL,3,0.0011342155009451795,0.11342155009451795
AES,3,0.0011342155009451795,0.11342155009451795
AIN,3,0.0011342155009451795,0.11342155009451795
ALI,3,0.0011342155009451795,0.11342155009451795
ANA,3,0.0011342155009451795,0.11342155009451795
ANB,3,0.0011342155009451795,0.11342155009451795
ANT,3,0.0011342155009451795,0.11342155009451795
ASE,3,0.0011342155009451795,0.11342155009451795
ASU,3,0.0011342155009451795,0.11342155009451795
BOU,3,0.0011342155009451795,0.11342155009451795
BUT,3,0.0011342155009451795,0.11342155009451795
CAE,3,0.0011342155009451795,0.11342155009451795
CIE,3,0.0011342155009451795,0.11342155009451795
CIP,3,0.0011342155009451795,0.11342155009451795
CIS,3,0.0011342155009451795,0.11342155009451795
CLA,3,0.0011342155009451795,0.11342155009451795
CLU,3,0.0011342155009451795,0.11342155009451795
CTI,3,0.0011342155009451795,0.11342155009451795
CUR,3,0.0011342155009451795,0.11342155009451795
DAT,3,0.0011342155009451795,0.11342155009451795
DEA,3,0.0011342155009451795,0.11342155009451795
DES,3,0.0011342155009451795,0.11342155009451795
DEX,3,0.0011342155009451795,0.11342155009451795
DOM,3,0.0011342155009451795,0.11342155009451795
ECO,3,0.0011342155009451795,0.11342155009451795
EFR,3,0.0011342155009451795,0.11342155009451795
EIN,3,0.0011342155009451795,0.11342155009451795
EIS,3,0.0011342155009451795,0.11342155009451795
ELE,3,0.0011342155009451795,0.11342155009451795
